,DZD,AOA,ARS,AMD,AUD,EUR,AZN,BHD,BBD,BYN,EUR,BMD,BOB,BAM,BWP,BRL,BGN,CVE,KHR,XAF,CAD,KYD,XAF,CLP,CNY,COP,CDF,XAF,CRC,HRK,EUR,CZK,DKK,DOP,USD,EGP,USD,XAF,EUR,FJD,EUR,EUR,XAF,GEL,EUR,GHS,GIP,EUR,DKK,GTQ,GBP,GYD,HNL,HKD,HUF,ISK,INR,IDR,IQD,EUR,IMP,ILS,EUR,XOF,JMD,JPY,GBP,JOD,KZT,KES,KRW,EUR,KWD,KGS,LAK,EUR,LBP,LYD,CHF,EUR,EUR,MOP,MGA,MWK,MYR,MVR,EUR,MRU,MUR,MXN,MDL,MNT,EUR,MAD,MZN,MMK,NAD,EUR,NZD,NIO,NGN,MKD,NOK,OMR,PKR,"ILS, USD, and JOD",PAB  and USD,PGK,PYG,PEN,PHP,PLN,EUR,USD,QAR,RON,RUB,RWF,XCD,SAR,XOF,RSD,SGD,EUR,EUR,ZAR,EUR,LKR,SZL,SEK,CHF,TWD,TJS,TZS,THB,USD,TTD,TND,TRY,TMT,UGX,UAH,AED,GBP,USD,UYU,UZS,VEF,VND,ZMW,ZWD
CLP,DZDCLP,AOACLP,ARSCLP,AMDCLP,AUDCLP,EURCLP,AZNCLP,BHDCLP,BBDCLP,BYNCLP,EURCLP,BMDCLP,BOBCLP,BAMCLP,BWPCLP,BRLCLP,BGNCLP,CVECLP,KHRCLP,XAFCLP,CADCLP,KYDCLP,XAFCLP,1,CNYCLP,COPCLP,CDFCLP,XAFCLP,CRCCLP,HRKCLP,EURCLP,CZKCLP,DKKCLP,DOPCLP,USDCLP,EGPCLP,USDCLP,XAFCLP,EURCLP,FJDCLP,EURCLP,EURCLP,XAFCLP,GELCLP,EURCLP,GHSCLP,GIPCLP,EURCLP,DKKCLP,GTQCLP,GBPCLP,GYDCLP,HNLCLP,HKDCLP,HUFCLP,ISKCLP,INRCLP,IDRCLP,IQDCLP,EURCLP,IMPCLP,ILSCLP,EURCLP,XOFCLP,JMDCLP,JPYCLP,GBPCLP,JODCLP,KZTCLP,KESCLP,KRWCLP,EURCLP,KWDCLP,KGSCLP,LAKCLP,EURCLP,LBPCLP,LYDCLP,CHFCLP,EURCLP,EURCLP,MOPCLP,MGACLP,MWKCLP,MYRCLP,MVRCLP,EURCLP,MRUCLP,MURCLP,MXNCLP,MDLCLP,MNTCLP,EURCLP,MADCLP,MZNCLP,MMKCLP,NADCLP,EURCLP,NZDCLP,NIOCLP,NGNCLP,MKDCLP,NOKCLP,OMRCLP,PKRCLP,"ILS, USD, and JODCLP",PAB  and USDCLP,PGKCLP,PYGCLP,PENCLP,PHPCLP,PLNCLP,EURCLP,USDCLP,QARCLP,RONCLP,RUBCLP,RWFCLP,XCDCLP,SARCLP,XOFCLP,RSDCLP,SGDCLP,EURCLP,EURCLP,ZARCLP,EURCLP,LKRCLP,SZLCLP,SEKCLP,CHFCLP,TWDCLP,TJSCLP,TZSCLP,THBCLP,USDCLP,TTDCLP,TNDCLP,TRYCLP,TMTCLP,UGXCLP,UAHCLP,AEDCLP,GBPCLP,USDCLP,UYUCLP,UZSCLP,VEFCLP,VNDCLP,ZMWCLP,ZWDCLP
CNY,DZDCNY,AOACNY,ARSCNY,AMDCNY,AUDCNY,EURCNY,AZNCNY,BHDCNY,BBDCNY,BYNCNY,EURCNY,BMDCNY,BOBCNY,BAMCNY,BWPCNY,BRLCNY,BGNCNY,CVECNY,KHRCNY,XAFCNY,CADCNY,KYDCNY,XAFCNY,CLPCNY,1,COPCNY,CDFCNY,XAFCNY,CRCCNY,HRKCNY,EURCNY,CZKCNY,DKKCNY,DOPCNY,USDCNY,EGPCNY,USDCNY,XAFCNY,EURCNY,FJDCNY,EURCNY,EURCNY,XAFCNY,GELCNY,EURCNY,GHSCNY,GIPCNY,EURCNY,DKKCNY,GTQCNY,GBPCNY,GYDCNY,HNLCNY,HKDCNY,HUFCNY,ISKCNY,INRCNY,IDRCNY,IQDCNY,EURCNY,IMPCNY,ILSCNY,EURCNY,XOFCNY,JMDCNY,JPYCNY,GBPCNY,JODCNY,KZTCNY,KESCNY,KRWCNY,EURCNY,KWDCNY,KGSCNY,LAKCNY,EURCNY,LBPCNY,LYDCNY,CHFCNY,EURCNY,EURCNY,MOPCNY,MGACNY,MWKCNY,MYRCNY,MVRCNY,EURCNY,MRUCNY,MURCNY,MXNCNY,MDLCNY,MNTCNY,EURCNY,MADCNY,MZNCNY,MMKCNY,NADCNY,EURCNY,NZDCNY,NIOCNY,NGNCNY,MKDCNY,NOKCNY,OMRCNY,PKRCNY,"ILS, USD, and JODCNY",PAB  and USDCNY,PGKCNY,PYGCNY,PENCNY,PHPCNY,PLNCNY,EURCNY,USDCNY,QARCNY,RONCNY,RUBCNY,RWFCNY,XCDCNY,SARCNY,XOFCNY,RSDCNY,SGDCNY,EURCNY,EURCNY,ZARCNY,EURCNY,LKRCNY,SZLCNY,SEKCNY,CHFCNY,TWDCNY,TJSCNY,TZSCNY,THBCNY,USDCNY,TTDCNY,TNDCNY,TRYCNY,TMTCNY,UGXCNY,UAHCNY,AEDCNY,GBPCNY,USDCNY,UYUCNY,UZSCNY,VEFCNY,VNDCNY,ZMWCNY,ZWDCNY
COP,DZDCOP,AOACOP,ARSCOP,AMDCOP,AUDCOP,EURCOP,AZNCOP,BHDCOP,BBDCOP,BYNCOP,EURCOP,BMDCOP,BOBCOP,BAMCOP,BWPCOP,BRLCOP,BGNCOP,CVECOP,KHRCOP,XAFCOP,CADCOP,KYDCOP,XAFCOP,CLPCOP,CNYCOP,1,CDFCOP,XAFCOP,CRCCOP,HRKCOP,EURCOP,CZKCOP,DKKCOP,DOPCOP,USDCOP,EGPCOP,USDCOP,XAFCOP,EURCOP,FJDCOP,EURCOP,EURCOP,XAFCOP,GELCOP,EURCOP,GHSCOP,GIPCOP,EURCOP,DKKCOP,GTQCOP,GBPCOP,GYDCOP,HNLCOP,HKDCOP,HUFCOP,ISKCOP,INRCOP,IDRCOP,IQDCOP,EURCOP,IMPCOP,ILSCOP,EURCOP,XOFCOP,JMDCOP,JPYCOP,GBPCOP,JODCOP,KZTCOP,KESCOP,KRWCOP,EURCOP,KWDCOP,KGSCOP,LAKCOP,EURCOP,LBPCOP,LYDCOP,CHFCOP,EURCOP,EURCOP,MOPCOP,MGACOP,MWKCOP,MYRCOP,MVRCOP,EURCOP,MRUCOP,MURCOP,MXNCOP,MDLCOP,MNTCOP,EURCOP,MADCOP,MZNCOP,MMKCOP,NADCOP,EURCOP,NZDCOP,NIOCOP,NGNCOP,MKDCOP,NOKCOP,OMRCOP,PKRCOP,"ILS, USD, and JODCOP",PAB  and USDCOP,PGKCOP,PYGCOP,PENCOP,PHPCOP,PLNCOP,EURCOP,USDCOP,QARCOP,RONCOP,RUBCOP,RWFCOP,XCDCOP,SARCOP,XOFCOP,RSDCOP,SGDCOP,EURCOP,EURCOP,ZARCOP,EURCOP,LKRCOP,SZLCOP,SEKCOP,CHFCOP,TWDCOP,TJSCOP,TZSCOP,THBCOP,USDCOP,TTDCOP,TNDCOP,TRYCOP,TMTCOP,UGXCOP,UAHCOP,AEDCOP,GBPCOP,USDCOP,UYUCOP,UZSCOP,VEFCOP,VNDCOP,ZMWCOP,ZWDCOP
CDF,DZDCDF,AOACDF,ARSCDF,AMDCDF,AUDCDF,EURCDF,AZNCDF,BHDCDF,BBDCDF,BYNCDF,EURCDF,BMDCDF,BOBCDF,BAMCDF,BWPCDF,BRLCDF,BGNCDF,CVECDF,KHRCDF,XAFCDF,CADCDF,KYDCDF,XAFCDF,CLPCDF,CNYCDF,COPCDF,1,XAFCDF,CRCCDF,HRKCDF,EURCDF,CZKCDF,DKKCDF,DOPCDF,USDCDF,EGPCDF,USDCDF,XAFCDF,EURCDF,FJDCDF,EURCDF,EURCDF,XAFCDF,GELCDF,EURCDF,GHSCDF,GIPCDF,EURCDF,DKKCDF,GTQCDF,GBPCDF,GYDCDF,HNLCDF,HKDCDF,HUFCDF,ISKCDF,INRCDF,IDRCDF,IQDCDF,EURCDF,IMPCDF,ILSCDF,EURCDF,XOFCDF,JMDCDF,JPYCDF,GBPCDF,JODCDF,KZTCDF,KESCDF,KRWCDF,EURCDF,KWDCDF,KGSCDF,LAKCDF,EURCDF,LBPCDF,LYDCDF,CHFCDF,EURCDF,EURCDF,MOPCDF,MGACDF,MWKCDF,MYRCDF,MVRCDF,EURCDF,MRUCDF,MURCDF,MXNCDF,MDLCDF,MNTCDF,EURCDF,MADCDF,MZNCDF,MMKCDF,NADCDF,EURCDF,NZDCDF,NIOCDF,NGNCDF,MKDCDF,NOKCDF,OMRCDF,PKRCDF,"ILS, USD, and JODCDF",PAB  and USDCDF,PGKCDF,PYGCDF,PENCDF,PHPCDF,PLNCDF,EURCDF,USDCDF,QARCDF,RONCDF,RUBCDF,RWFCDF,XCDCDF,SARCDF,XOFCDF,RSDCDF,SGDCDF,EURCDF,EURCDF,ZARCDF,EURCDF,LKRCDF,SZLCDF,SEKCDF,CHFCDF,TWDCDF,TJSCDF,TZSCDF,THBCDF,USDCDF,TTDCDF,TNDCDF,TRYCDF,TMTCDF,UGXCDF,UAHCDF,AEDCDF,GBPCDF,USDCDF,UYUCDF,UZSCDF,VEFCDF,VNDCDF,ZMWCDF,ZWDCDF
XAF,DZDXAF,AOAXAF,ARSXAF,AMDXAF,AUDXAF,EURXAF,AZNXAF,BHDXAF,BBDXAF,BYNXAF,EURXAF,BMDXAF,BOBXAF,BAMXAF,BWPXAF,BRLXAF,BGNXAF,CVEXAF,KHRXAF,1,CADXAF,KYDXAF,1,CLPXAF,CNYXAF,COPXAF,CDFXAF,1,CRCXAF,HRKXAF,EURXAF,CZKXAF,DKKXAF,DOPXAF,USDXAF,EGPXAF,USDXAF,1,EURXAF,FJDXAF,EURXAF,EURXAF,1,GELXAF,EURXAF,GHSXAF,GIPXAF,EURXAF,DKKXAF,GTQXAF,GBPXAF,GYDXAF,HNLXAF,HKDXAF,HUFXAF,ISKXAF,INRXAF,IDRXAF,IQDXAF,EURXAF,IMPXAF,ILSXAF,EURXAF,XOFXAF,JMDXAF,JPYXAF,GBPXAF,JODXAF,KZTXAF,KESXAF,KRWXAF,EURXAF,KWDXAF,KGSXAF,LAKXAF,EURXAF,LBPXAF,LYDXAF,CHFXAF,EURXAF,EURXAF,MOPXAF,MGAXAF,MWKXAF,MYRXAF,MVRXAF,EURXAF,MRUXAF,MURXAF,MXNXAF,MDLXAF,MNTXAF,EURXAF,MADXAF,MZNXAF,MMKXAF,NADXAF,EURXAF,NZDXAF,NIOXAF,NGNXAF,MKDXAF,NOKXAF,OMRXAF,PKRXAF,"ILS, USD, and JODXAF",PAB  and USDXAF,PGKXAF,PYGXAF,PENXAF,PHPXAF,PLNXAF,EURXAF,USDXAF,QARXAF,RONXAF,RUBXAF,RWFXAF,XCDXAF,SARXAF,XOFXAF,RSDXAF,SGDXAF,EURXAF,EURXAF,ZARXAF,EURXAF,LKRXAF,SZLXAF,SEKXAF,CHFXAF,TWDXAF,TJSXAF,TZSXAF,THBXAF,USDXAF,TTDXAF,TNDXAF,TRYXAF,TMTXAF,UGXXAF,UAHXAF,AEDXAF,GBPXAF,USDXAF,UYUXAF,UZSXAF,VEFXAF,VNDXAF,ZMWXAF,ZWDXAF
CRC,DZDCRC,AOACRC,ARSCRC,AMDCRC,AUDCRC,EURCRC,AZNCRC,BHDCRC,BBDCRC,BYNCRC,EURCRC,BMDCRC,BOBCRC,BAMCRC,BWPCRC,BRLCRC,BGNCRC,CVECRC,KHRCRC,XAFCRC,CADCRC,KYDCRC,XAFCRC,CLPCRC,CNYCRC,COPCRC,CDFCRC,XAFCRC,1,HRKCRC,EURCRC,CZKCRC,DKKCRC,DOPCRC,USDCRC,EGPCRC,USDCRC,XAFCRC,EURCRC,FJDCRC,EURCRC,EURCRC,XAFCRC,GELCRC,EURCRC,GHSCRC,GIPCRC,EURCRC,DKKCRC,GTQCRC,GBPCRC,GYDCRC,HNLCRC,HKDCRC,HUFCRC,ISKCRC,INRCRC,IDRCRC,IQDCRC,EURCRC,IMPCRC,ILSCRC,EURCRC,XOFCRC,JMDCRC,JPYCRC,GBPCRC,JODCRC,KZTCRC,KESCRC,KRWCRC,EURCRC,KWDCRC,KGSCRC,LAKCRC,EURCRC,LBPCRC,LYDCRC,CHFCRC,EURCRC,EURCRC,MOPCRC,MGACRC,MWKCRC,MYRCRC,MVRCRC,EURCRC,MRUCRC,MURCRC,MXNCRC,MDLCRC,MNTCRC,EURCRC,MADCRC,MZNCRC,MMKCRC,NADCRC,EURCRC,NZDCRC,NIOCRC,NGNCRC,MKDCRC,NOKCRC,OMRCRC,PKRCRC,"ILS, USD, and JODCRC",PAB  and USDCRC,PGKCRC,PYGCRC,PENCRC,PHPCRC,PLNCRC,EURCRC,USDCRC,QARCRC,RONCRC,RUBCRC,RWFCRC,XCDCRC,SARCRC,XOFCRC,RSDCRC,SGDCRC,EURCRC,EURCRC,ZARCRC,EURCRC,LKRCRC,SZLCRC,SEKCRC,CHFCRC,TWDCRC,TJSCRC,TZSCRC,THBCRC,USDCRC,TTDCRC,TNDCRC,TRYCRC,TMTCRC,UGXCRC,UAHCRC,AEDCRC,GBPCRC,USDCRC,UYUCRC,UZSCRC,VEFCRC,VNDCRC,ZMWCRC,ZWDCRC
HRK,DZDHRK,AOAHRK,ARSHRK,AMDHRK,AUDHRK,EURHRK,AZNHRK,BHDHRK,BBDHRK,BYNHRK,EURHRK,BMDHRK,BOBHRK,BAMHRK,BWPHRK,BRLHRK,BGNHRK,CVEHRK,KHRHRK,XAFHRK,CADHRK,KYDHRK,XAFHRK,CLPHRK,CNYHRK,COPHRK,CDFHRK,XAFHRK,CRCHRK,1,EURHRK,CZKHRK,DKKHRK,DOPHRK,USDHRK,EGPHRK,USDHRK,XAFHRK,EURHRK,FJDHRK,EURHRK,EURHRK,XAFHRK,GELHRK,EURHRK,GHSHRK,GIPHRK,EURHRK,DKKHRK,GTQHRK,GBPHRK,GYDHRK,HNLHRK,HKDHRK,HUFHRK,ISKHRK,INRHRK,IDRHRK,IQDHRK,EURHRK,IMPHRK,ILSHRK,EURHRK,XOFHRK,JMDHRK,JPYHRK,GBPHRK,JODHRK,KZTHRK,KESHRK,KRWHRK,EURHRK,KWDHRK,KGSHRK,LAKHRK,EURHRK,LBPHRK,LYDHRK,CHFHRK,EURHRK,EURHRK,MOPHRK,MGAHRK,MWKHRK,MYRHRK,MVRHRK,EURHRK,MRUHRK,MURHRK,MXNHRK,MDLHRK,MNTHRK,EURHRK,MADHRK,MZNHRK,MMKHRK,NADHRK,EURHRK,NZDHRK,NIOHRK,NGNHRK,MKDHRK,NOKHRK,OMRHRK,PKRHRK,"ILS, USD, and JODHRK",PAB  and USDHRK,PGKHRK,PYGHRK,PENHRK,PHPHRK,PLNHRK,EURHRK,USDHRK,QARHRK,RONHRK,RUBHRK,RWFHRK,XCDHRK,SARHRK,XOFHRK,RSDHRK,SGDHRK,EURHRK,EURHRK,ZARHRK,EURHRK,LKRHRK,SZLHRK,SEKHRK,CHFHRK,TWDHRK,TJSHRK,TZSHRK,THBHRK,USDHRK,TTDHRK,TNDHRK,TRYHRK,TMTHRK,UGXHRK,UAHHRK,AEDHRK,GBPHRK,USDHRK,UYUHRK,UZSHRK,VEFHRK,VNDHRK,ZMWHRK,ZWDHRK
EUR,DZDEUR,AOAEUR,ARSEUR,AMDEUR,AUDEUR,1,AZNEUR,BHDEUR,BBDEUR,BYNEUR,1,BMDEUR,BOBEUR,BAMEUR,BWPEUR,BRLEUR,BGNEUR,CVEEUR,KHREUR,XAFEUR,CADEUR,KYDEUR,XAFEUR,CLPEUR,CNYEUR,COPEUR,CDFEUR,XAFEUR,CRCEUR,HRKEUR,1,CZKEUR,DKKEUR,DOPEUR,USDEUR,EGPEUR,USDEUR,XAFEUR,1,FJDEUR,1,1,XAFEUR,GELEUR,1,GHSEUR,GIPEUR,1,DKKEUR,GTQEUR,GBPEUR,GYDEUR,HNLEUR,HKDEUR,HUFEUR,ISKEUR,INREUR,IDREUR,IQDEUR,1,IMPEUR,ILSEUR,1,XOFEUR,JMDEUR,JPYEUR,GBPEUR,JODEUR,KZTEUR,KESEUR,KRWEUR,1,KWDEUR,KGSEUR,LAKEUR,1,LBPEUR,LYDEUR,CHFEUR,1,1,MOPEUR,MGAEUR,MWKEUR,MYREUR,MVREUR,1,MRUEUR,MUREUR,MXNEUR,MDLEUR,MNTEUR,1,MADEUR,MZNEUR,MMKEUR,NADEUR,1,NZDEUR,NIOEUR,NGNEUR,MKDEUR,NOKEUR,OMREUR,PKREUR,"ILS, USD, and JODEUR",PAB  and USDEUR,PGKEUR,PYGEUR,PENEUR,PHPEUR,PLNEUR,1,USDEUR,QAREUR,RONEUR,RUBEUR,RWFEUR,XCDEUR,SAREUR,XOFEUR,RSDEUR,SGDEUR,1,1,ZAREUR,1,LKREUR,SZLEUR,SEKEUR,CHFEUR,TWDEUR,TJSEUR,TZSEUR,THBEUR,USDEUR,TTDEUR,TNDEUR,TRYEUR,TMTEUR,UGXEUR,UAHEUR,AEDEUR,GBPEUR,USDEUR,UYUEUR,UZSEUR,VEFEUR,VNDEUR,ZMWEUR,ZWDEUR
CZK,DZDCZK,AOACZK,ARSCZK,AMDCZK,AUDCZK,EURCZK,AZNCZK,BHDCZK,BBDCZK,BYNCZK,EURCZK,BMDCZK,BOBCZK,BAMCZK,BWPCZK,BRLCZK,BGNCZK,CVECZK,KHRCZK,XAFCZK,CADCZK,KYDCZK,XAFCZK,CLPCZK,CNYCZK,COPCZK,CDFCZK,XAFCZK,CRCCZK,HRKCZK,EURCZK,1,DKKCZK,DOPCZK,USDCZK,EGPCZK,USDCZK,XAFCZK,EURCZK,FJDCZK,EURCZK,EURCZK,XAFCZK,GELCZK,EURCZK,GHSCZK,GIPCZK,EURCZK,DKKCZK,GTQCZK,GBPCZK,GYDCZK,HNLCZK,HKDCZK,HUFCZK,ISKCZK,INRCZK,IDRCZK,IQDCZK,EURCZK,IMPCZK,ILSCZK,EURCZK,XOFCZK,JMDCZK,JPYCZK,GBPCZK,JODCZK,KZTCZK,KESCZK,KRWCZK,EURCZK,KWDCZK,KGSCZK,LAKCZK,EURCZK,LBPCZK,LYDCZK,CHFCZK,EURCZK,EURCZK,MOPCZK,MGACZK,MWKCZK,MYRCZK,MVRCZK,EURCZK,MRUCZK,MURCZK,MXNCZK,MDLCZK,MNTCZK,EURCZK,MADCZK,MZNCZK,MMKCZK,NADCZK,EURCZK,NZDCZK,NIOCZK,NGNCZK,MKDCZK,NOKCZK,OMRCZK,PKRCZK,"ILS, USD, and JODCZK",PAB  and USDCZK,PGKCZK,PYGCZK,PENCZK,PHPCZK,PLNCZK,EURCZK,USDCZK,QARCZK,RONCZK,RUBCZK,RWFCZK,XCDCZK,SARCZK,XOFCZK,RSDCZK,SGDCZK,EURCZK,EURCZK,ZARCZK,EURCZK,LKRCZK,SZLCZK,SEKCZK,CHFCZK,TWDCZK,TJSCZK,TZSCZK,THBCZK,USDCZK,TTDCZK,TNDCZK,TRYCZK,TMTCZK,UGXCZK,UAHCZK,AEDCZK,GBPCZK,USDCZK,UYUCZK,UZSCZK,VEFCZK,VNDCZK,ZMWCZK,ZWDCZK
DKK,DZDDKK,AOADKK,ARSDKK,AMDDKK,AUDDKK,EURDKK,AZNDKK,BHDDKK,BBDDKK,BYNDKK,EURDKK,BMDDKK,BOBDKK,BAMDKK,BWPDKK,BRLDKK,BGNDKK,CVEDKK,KHRDKK,XAFDKK,CADDKK,KYDDKK,XAFDKK,CLPDKK,CNYDKK,COPDKK,CDFDKK,XAFDKK,CRCDKK,HRKDKK,EURDKK,CZKDKK,1,DOPDKK,USDDKK,EGPDKK,USDDKK,XAFDKK,EURDKK,FJDDKK,EURDKK,EURDKK,XAFDKK,GELDKK,EURDKK,GHSDKK,GIPDKK,EURDKK,1,GTQDKK,GBPDKK,GYDDKK,HNLDKK,HKDDKK,HUFDKK,ISKDKK,INRDKK,IDRDKK,IQDDKK,EURDKK,IMPDKK,ILSDKK,EURDKK,XOFDKK,JMDDKK,JPYDKK,GBPDKK,JODDKK,KZTDKK,KESDKK,KRWDKK,EURDKK,KWDDKK,KGSDKK,LAKDKK,EURDKK,LBPDKK,LYDDKK,CHFDKK,EURDKK,EURDKK,MOPDKK,MGADKK,MWKDKK,MYRDKK,MVRDKK,EURDKK,MRUDKK,MURDKK,MXNDKK,MDLDKK,MNTDKK,EURDKK,MADDKK,MZNDKK,MMKDKK,NADDKK,EURDKK,NZDDKK,NIODKK,NGNDKK,MKDDKK,NOKDKK,OMRDKK,PKRDKK,"ILS, USD, and JODDKK",PAB  and USDDKK,PGKDKK,PYGDKK,PENDKK,PHPDKK,PLNDKK,EURDKK,USDDKK,QARDKK,RONDKK,RUBDKK,RWFDKK,XCDDKK,SARDKK,XOFDKK,RSDDKK,SGDDKK,EURDKK,EURDKK,ZARDKK,EURDKK,LKRDKK,SZLDKK,SEKDKK,CHFDKK,TWDDKK,TJSDKK,TZSDKK,THBDKK,USDDKK,TTDDKK,TNDDKK,TRYDKK,TMTDKK,UGXDKK,UAHDKK,AEDDKK,GBPDKK,USDDKK,UYUDKK,UZSDKK,VEFDKK,VNDDKK,ZMWDKK,ZWDDKK
DOP,DZDDOP,AOADOP,ARSDOP,AMDDOP,AUDDOP,EURDOP,AZNDOP,BHDDOP,BBDDOP,BYNDOP,EURDOP,BMDDOP,BOBDOP,BAMDOP,BWPDOP,BRLDOP,BGNDOP,CVEDOP,KHRDOP,XAFDOP,CADDOP,KYDDOP,XAFDOP,CLPDOP,CNYDOP,COPDOP,CDFDOP,XAFDOP,CRCDOP,HRKDOP,EURDOP,CZKDOP,DKKDOP,1,USDDOP,EGPDOP,USDDOP,XAFDOP,EURDOP,FJDDOP,EURDOP,EURDOP,XAFDOP,GELDOP,EURDOP,GHSDOP,GIPDOP,EURDOP,DKKDOP,GTQDOP,GBPDOP,GYDDOP,HNLDOP,HKDDOP,HUFDOP,ISKDOP,INRDOP,IDRDOP,IQDDOP,EURDOP,IMPDOP,ILSDOP,EURDOP,XOFDOP,JMDDOP,JPYDOP,GBPDOP,JODDOP,KZTDOP,KESDOP,KRWDOP,EURDOP,KWDDOP,KGSDOP,LAKDOP,EURDOP,LBPDOP,LYDDOP,CHFDOP,EURDOP,EURDOP,MOPDOP,MGADOP,MWKDOP,MYRDOP,MVRDOP,EURDOP,MRUDOP,MURDOP,MXNDOP,MDLDOP,MNTDOP,EURDOP,MADDOP,MZNDOP,MMKDOP,NADDOP,EURDOP,NZDDOP,NIODOP,NGNDOP,MKDDOP,NOKDOP,OMRDOP,PKRDOP,"ILS, USD, and JODDOP",PAB  and USDDOP,PGKDOP,PYGDOP,PENDOP,PHPDOP,PLNDOP,EURDOP,USDDOP,QARDOP,RONDOP,RUBDOP,RWFDOP,XCDDOP,SARDOP,XOFDOP,RSDDOP,SGDDOP,EURDOP,EURDOP,ZARDOP,EURDOP,LKRDOP,SZLDOP,SEKDOP,CHFDOP,TWDDOP,TJSDOP,TZSDOP,THBDOP,USDDOP,TTDDOP,TNDDOP,TRYDOP,TMTDOP,UGXDOP,UAHDOP,AEDDOP,GBPDOP,USDDOP,UYUDOP,UZSDOP,VEFDOP,VNDDOP,ZMWDOP,ZWDDOP
USD,DZDUSD,AOAUSD,ARSUSD,AMDUSD,AUDUSD,EURUSD,AZNUSD,BHDUSD,BBDUSD,BYNUSD,EURUSD,BMDUSD,BOBUSD,BAMUSD,BWPUSD,BRLUSD,BGNUSD,CVEUSD,KHRUSD,XAFUSD,CADUSD,KYDUSD,XAFUSD,CLPUSD,CNYUSD,COPUSD,CDFUSD,XAFUSD,CRCUSD,HRKUSD,EURUSD,CZKUSD,DKKUSD,DOPUSD,1,EGPUSD,1,XAFUSD,EURUSD,FJDUSD,EURUSD,EURUSD,XAFUSD,GELUSD,EURUSD,GHSUSD,GIPUSD,EURUSD,DKKUSD,GTQUSD,GBPUSD,GYDUSD,HNLUSD,HKDUSD,HUFUSD,ISKUSD,INRUSD,IDRUSD,IQDUSD,EURUSD,IMPUSD,ILSUSD,EURUSD,XOFUSD,JMDUSD,JPYUSD,GBPUSD,JODUSD,KZTUSD,KESUSD,KRWUSD,EURUSD,KWDUSD,KGSUSD,LAKUSD,EURUSD,LBPUSD,LYDUSD,CHFUSD,EURUSD,EURUSD,MOPUSD,MGAUSD,MWKUSD,MYRUSD,MVRUSD,EURUSD,MRUUSD,MURUSD,MXNUSD,MDLUSD,MNTUSD,EURUSD,MADUSD,MZNUSD,MMKUSD,NADUSD,EURUSD,NZDUSD,NIOUSD,NGNUSD,MKDUSD,NOKUSD,OMRUSD,PKRUSD,"ILS, USD, and JODUSD",PAB  and USDUSD,PGKUSD,PYGUSD,PENUSD,PHPUSD,PLNUSD,EURUSD,1,QARUSD,RONUSD,RUBUSD,RWFUSD,XCDUSD,SARUSD,XOFUSD,RSDUSD,SGDUSD,EURUSD,EURUSD,ZARUSD,EURUSD,LKRUSD,SZLUSD,SEKUSD,CHFUSD,TWDUSD,TJSUSD,TZSUSD,THBUSD,1,TTDUSD,TNDUSD,TRYUSD,TMTUSD,UGXUSD,UAHUSD,AEDUSD,GBPUSD,1,UYUUSD,UZSUSD,VEFUSD,VNDUSD,ZMWUSD,ZWDUSD
EGP,DZDEGP,AOAEGP,ARSEGP,AMDEGP,AUDEGP,EUREGP,AZNEGP,BHDEGP,BBDEGP,BYNEGP,EUREGP,BMDEGP,BOBEGP,BAMEGP,BWPEGP,BRLEGP,BGNEGP,CVEEGP,KHREGP,XAFEGP,CADEGP,KYDEGP,XAFEGP,CLPEGP,CNYEGP,COPEGP,CDFEGP,XAFEGP,CRCEGP,HRKEGP,EUREGP,CZKEGP,DKKEGP,DOPEGP,USDEGP,1,USDEGP,XAFEGP,EUREGP,FJDEGP,EUREGP,EUREGP,XAFEGP,GELEGP,EUREGP,GHSEGP,GIPEGP,EUREGP,DKKEGP,GTQEGP,GBPEGP,GYDEGP,HNLEGP,HKDEGP,HUFEGP,ISKEGP,INREGP,IDREGP,IQDEGP,EUREGP,IMPEGP,ILSEGP,EUREGP,XOFEGP,JMDEGP,JPYEGP,GBPEGP,JODEGP,KZTEGP,KESEGP,KRWEGP,EUREGP,KWDEGP,KGSEGP,LAKEGP,EUREGP,LBPEGP,LYDEGP,CHFEGP,EUREGP,EUREGP,MOPEGP,MGAEGP,MWKEGP,MYREGP,MVREGP,EUREGP,MRUEGP,MUREGP,MXNEGP,MDLEGP,MNTEGP,EUREGP,MADEGP,MZNEGP,MMKEGP,NADEGP,EUREGP,NZDEGP,NIOEGP,NGNEGP,MKDEGP,NOKEGP,OMREGP,PKREGP,"ILS, USD, and JODEGP",PAB  and USDEGP,PGKEGP,PYGEGP,PENEGP,PHPEGP,PLNEGP,EUREGP,USDEGP,QAREGP,RONEGP,RUBEGP,RWFEGP,XCDEGP,SAREGP,XOFEGP,RSDEGP,SGDEGP,EUREGP,EUREGP,ZAREGP,EUREGP,LKREGP,SZLEGP,SEKEGP,CHFEGP,TWDEGP,TJSEGP,TZSEGP,THBEGP,USDEGP,TTDEGP,TNDEGP,TRYEGP,TMTEGP,UGXEGP,UAHEGP,AEDEGP,GBPEGP,USDEGP,UYUEGP,UZSEGP,VEFEGP,VNDEGP,ZMWEGP,ZWDEGP
